Brand,Model,Uniques,Mean
Volkswagen,New Beetle,2,1264
Volkswagen,Passat,94,2224
Volkswagen,Passat Alltrack,1,11800
Volkswagen,Passat B3,1,80
Volkswagen,Passat B4,9,859
Volkswagen,Passat B5,18,857
Volkswagen,Passat B5 FL,27,1344
Volkswagen,Passat B6,35,2610
Volkswagen,Passat B7,5,6739
Volkswagen,Passat CC,9,5877
Volkswagen,Phaeton,10,3999
Volkswagen,Polo,24,2265
Volkswagen,Polo III,3,500
Volkswagen,Polo IV,6,1090
Volkswagen,Polo IV FL,5,2306
Volkswagen,Polo V,1,3500
Volkswagen,Scirocco,1,6100
Volkswagen,Sharan,32,1810
Volkswagen,Sharan I,11,1295
Volkswagen,Sharan II,1,10000
Volkswagen,Tiguan,4,7674
Volkswagen,Touareg,19,4737
Volkswagen,Touareg I,11,5145
Volkswagen,Touran,30,3081
Volkswagen,Touran I,16,3178
Volkswagen,Touran II,2,5099
Volkswagen,Transporter,18,3276
Volkswagen,Transporter T2,1,4999
Volkswagen,Transporter T3,3,3900
Volkswagen,Transporter T4,4,3012
Volkswagen,Transporter T5,3,4133
Volkswagen,Vento,1,750
Volkswagen,up!,2,4249
Volvo,240,1,1000
Volvo,340,2,1150
Volvo,460,1,999
Volvo,C30,4,3337
Volvo,C70,2,4549
Volvo,S40,6,1668
Volvo,S60,24,1723
Volvo,S60 I,8,1961
Volvo,S70,1,1250
Volvo,S80,20,2317
Volvo,S80 I,10,1303
Volvo,S80 II,4,5037
Volvo,V40 I,1,1700
Volvo,V40 T2,1,5950
Volvo,V50,29,2398
Volvo,V60,2,7920
Volvo,V60 Cross Country,1,21900
Volvo,V60 D3,1,5250
Volvo,V70,29,2341
Volvo,V70 II,17,1735
Volvo,V70 III,2,4566
Volvo,V90,1,4200
Volvo,XC 70,1,4700
Volvo,XC 90,2,5200
Volvo,XC60,4,9800
Volvo,XC70,14,3914
Volvo,XC90,15,7049
Volvo,XC90 I,2,4649
ZAZ,968,1,650
